Project Gutenberg Kids Books,Languages,,,,,,,,,,,,,,,
https://www.gutenberg.org/wiki/Children%27s_Literature_(Bookshelf),da,de,el,en,eo,es,fi,fr,hu,it,la,nl,pt,sv,tl,zh
,,48097,37721,,19293,21144,55205,26566,40627,29961,22368,16061,32793,48248,,23947
,,51476,36096,,48033,44112,45987,54664,56920,19517,24967,20530,33611,8518,,25431
,,15711,28658,,47913,16372,49578,15557,39299,43316,36186,25841,20874,27417,,51828
,,49024,35453,,28971,53517,11295,57584,40715,56890,14945,18532,33159,54714,,29032
,,45725,35320,,17945,20159,25924,21199,57234,22502,46938,31649,16218,17904,,25606
,,49424,37585,,22592,28430,51583,7263,38568,48530,14945,11205,30071,27417,,25142
,,30237,40098,,39841,10909,49160,55659,56662,45120,50280,18850,52847,22122,,25374
,,34694,31436,,18326,58298,48817,39024,56649,56888,8738,15215,24919,56547,,27291
,,7202,30719,,26959,41106,51186,58260,38461,55545,15582,19786,30510,48964,,24185
,,57850,31802,,17482,44112,53585,19234,56458,50996,47001,23862,23620,18017,,25195
,,41931,35655,,48896,24925,49717,27574,47541,43859,33197,37297,25898,27875,,7342
,,22235,36586,,19858,10822,45340,53279,55667,35799,58978,26387,30543,48750,,23915
,,55740,37397,,22592,49359,48498,58467,56592,46874,33849,13326,24661,48627,,54756
,,46442,39530,,37644,28927,50967,20262,43443,1011,46456,43213,29428,48627,,23948
,,2339,30741,,39842,58916,41053,56309,56855,48769,49697,50771,23621,54157,,7266
,,46135,39530,,48033,49914,45335,48878,33026,38509,47001,18532,25594,51440,,52280
,,51389,40061,,30991,55882,47286,54873,46563,34735,15680,18023,30919,58339,,26886
,,56330,33442,,44667,16109,22753,7818,40088,43512,19072,38422,29819,48071,,27204
,,56317,30748,,37977,16149,50084,16934,56377,31285,56312,46881,13630,54081,,27145
,,46903,39601,,23093,19847,45726,17577,19433,29636,14970,51691,30161,55252,,25187
,,46231,31401,,37642,58194,49883,23610,57214,47277,34733,22773,15047,48638,,24040
,,2337,42516,,51690,20855,56729,57584,56459,49463,42212,20969,27412,39213,,27403
,,57187,27668,,56351,51465,53554,14792,56912,45296,14959,37790,25635,14144,,23822
,,27822,27668,,52063,55157,55697,43851,55967,44363,51444,11208,18330,15703,,24112
,,55881,39601,,35981,26947,16211,11769,56969,58008,51443,15975,34387,53114,,24230
,,8375,42598,,49234,16413,48346,57584,56417,28317,32549,22722,41389,54571,,24099
,,2402,31446,,31348,18166,39636,47352,43478,49885,29495,43034,23620,48060,,25249
,,4503,31400,,7787,25807,55393,52933,56724,26452,42212,13326,32174,26479,,52199
,,44174,35604,,39841,40358,44845,11744,38494,39389,9175,28746,28414,55889,,27398
,,6503,39600,,8177,20011,37474,24260,38465,31702,56651,24830,26025,52870,,25559
,,15267,36088,,,28106,29974,45967,39419,45223,16562,30592,2837,52765,,25381
,,53780,39460,,,28978,47573,14398,57579,26171,53315,27800,21283,45330,,24060
,,46713,28202,,,48903,50222,11597,34712,43023,52691,37442,25313,53971,,25146
,,7186,32386,,,29506,48023,33808,56460,22504,51220,27512,29979,53883,,25247
,,57636,4100,,,58643,55210,42212,27546,28144,31010,17078,34386,56967,,27217
,,54586,31437,,,57590,52807,35814,56788,37932,20356,58487,30858,57621,,26931
,,50714,39493,,,18228,45258,17561,45615,49223,4317,26483,28902,48656,,7328
,,38157,28779,,,15206,44857,33422,19744,998,50732,44542,34756,14073,,7287
,,31281,39633,,,42705,18568,18112,57578,27159,10276,22686,22634,27418,,23818
,,2228,36088,,,31541,50110,58088,56996,53768,56651,22555,34963,53914,,23863
,,46174,32304,,,23206,15105,29052,57213,27825,33849,51753,34755,56421,,7458
,,6518,27895,,,31633,37001,37769,56804,31080,39534,19835,23133,15783,,23854
,,50522,17995,,,46265,57151,45892,30277,25177,20771,44087,17895,27419,,25228
,,47977,37791,,,40827,19372,57584,42471,41821,27050,58054,23961,55675,,26932
,,56214,35020,,,58484,25052,22416,41683,25183,19072,15990,55752,57499,,25379
,,52985,39208,,,42323,56422,45533,27685,48070,33311,57593,32072,28610,,25367
,,56174,28658,,,25054,48048,17420,42207,44383,51444,33993,28526,34014,,25328
,,14075,35114,,,10506,47401,31846,56874,56682,828,18128,30355,56413,,27596
,,53628,38915,,,14235,15967,26415,38605,17906,39355,23341,17503,57052,,27060
,,39391,36262,,,56251,56533,39825,42047,17838,49764,15083,34039,50367,,24232
,,9632,40935,,,29663,18433,39533,43801,48682,26570,25843,23133,26347,,25137
,,8919,34336,,,15353,51093,50743,32816,40378,23306,31297,28526,41301,,26979
,,50887,33577,,,56044,53511,16236,57578,50996,37641,27836,21684,50055,,25380
,,48543,39251,,,57828,50359,18003,55453,40885,51812,19832,30461,52291,,7332
,,48888,39365,,,54521,44826,16850,,30043,18837,29289,16571,9828,,25231
,,30655,39524,,,46279,54206,43311,,29955,18976,44157,28914,,,23814
,,56483,42454,,,53294,54768,57856,,58341,27050,42746,27542,,,4580
,,58851,26731,,,51465,53469,42561,,50806,27655,13901,30777,,,24422
,,23756,42031,,,54112,20881,46541,,28867,17713,23796,27361,,,24227
,,7204,31442,,,15531,47275,33132,,48820,46938,40417,20841,,,26873
,,53504,42454,,,27738,24687,49168,,33783,39355,13236,56737,,,25134
,,46817,32179,,,37747,56194,36868,,19034,22119,19891,32003,,,54820
